,start_time,end_time,time,voltage,current,quietValue,quietTime,run_duration,step1_duration,step1_volt,step2_duration,step2_volt,sample_rate,curr_range,out_volt_range,test_name,potentio_id,electrode
0,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
1,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
2,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
3,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
4,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
5,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
6,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
7,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
8,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
9,2018-07-26 13:45:40.302243,2018-07-26 13:45:50.601747,1.0,0.05,0.99988,0.0,0,0,1000,0.05,0,0.0,1,1uA,1V,chronoamp,1,Laponite iioo
0,2018-07-26 13:47:15.025835,2018-07-26 13:47:20.185823,1.0,0.05,9.99939,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,2,ll
1,2018-07-26 13:47:15.025835,2018-07-26 13:47:20.185823,1.0,0.05,9.99939,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,2,ll
2,2018-07-26 13:47:15.025835,2018-07-26 13:47:20.185823,1.0,0.05,9.99939,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,2,ll
3,2018-07-26 13:47:15.025835,2018-07-26 13:47:20.185823,1.0,0.05,9.99939,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,2,ll
4,2018-07-26 13:47:15.025835,2018-07-26 13:47:20.185823,1.0,0.05,9.99939,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,2,ll
0,2018-07-26 13:47:15.025117,2018-07-26 13:47:20.192575,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
1,2018-07-26 13:47:15.025117,2018-07-26 13:47:20.192575,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
2,2018-07-26 13:47:15.025117,2018-07-26 13:47:20.192575,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
3,2018-07-26 13:47:15.025117,2018-07-26 13:47:20.192575,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
4,2018-07-26 13:47:15.025117,2018-07-26 13:47:20.192575,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
0,2018-07-26 13:58:00.532555,2018-07-26 13:58:05.667029,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
1,2018-07-26 13:58:00.532555,2018-07-26 13:58:05.667029,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
2,2018-07-26 13:58:00.532555,2018-07-26 13:58:05.667029,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
3,2018-07-26 13:58:00.532555,2018-07-26 13:58:05.667029,1.0,0.05,9.99878,0.0,0,0,1000,0.05,0,0.0,1,10uA,1V,chronoamp,1,ll
